,content,label
0,We are very interested in your proposal and would like to proceed with the next steps.,Interested
2,We are interested in collaborating with you and your team.,Interested
3,Please let us know if your company is interested in a partnership.,Interested
5,"Let's connect soon, our team at your company is enthusiastic about your proposal and would like to move forward.",Interested
13,"Thank you, sender name position company",Interested
250,We reviewed your proposal and decided not to proceed.,Not Interested
251,"We do not find this project aligning with our current goals, so we are not interested.",Not Interested
252,We are not interested in pursuing this opportunity at the moment.,Not Interested
253,"We have to decline your proposal at this time, best of luck with your future projects, sender name position company",Not Interested
257,"After careful consideration, we have decided not to move forward with your proposal.",Not Interested
500,We are committed to continuing the project and look forward to the next phase.,Modification
501,Your company is excited to see the next phase and we would like to continue the project with the new specifications.,Modification
502,The company is looking forward to the results of the project.,Modification
503,The team at your company is enthusiastic about continuing the project under the new terms.,Modification
508,Your company values your partnership and we are excited to continue our collaboration.,Modification
750,"Thank you for your understanding, we need to end the project due to budget constraints.",Terminate Project
751,We have decided to end the project due to unforeseen circumstances.,Terminate Project
752,"We have to end the project immediately, thanks for your efforts.",Terminate Project
754,"Due to budget constraints, we have decided to stop all activities related to the project.",Terminate Project
761,We want to let you know that the project will be terminated immediately.,Terminate Project
0,"Subject: Important Update: Changes to Project Methodologies

Dear Team,

I hope this message finds you well. I am writing to inform you about some important changes to our project methodologies. In order to enhance efficiency and productivity, we will be implementing new methodologies effective immediately. These changes are designed to streamline our processes and improve project outcomes. I encourage everyone to familiarize themselves with the updated methodologies and reach out if you have any questions or need clarification. Your cooperation and adaptability during this transition are greatly appreciated. Thank you for your continued dedication to our projects.

Best regards,

Marshall J.",Modification
